index,name,label,description,description_nice
1,olr,OLR,OLR,Olr
2,colr,COLR,clear sky OLR,Clear Sky Olr
3,etarej_end,Chi-Squared of Cloud Clearing,CC residual for last CC step. OLR [1] is the rejection threshold.,Cc Residual For Last Cc Step. Olr [1] Is The Rejection Threshold.
4,cldfrc_tot,Total Cloud Fraction,cldfrctot @ end of retrieval,Cldfrctot @ End Of Retrieval
5,cldfrc_500,CLDFRC 500,cldfrc(Pcld>500) @ end,Cldfrc(Pcld>500) @ End
6,ampl_eta_final,AMPL ETA FINAL,noise amplification factor/final CC score | A0_cloud [16] is the rejection threshold.,Noise Amplification Factor/Final Cc Score | A0_Cloud [16] Is The Rejection Threshold.
7,BTAMSU,BTAMSU,Predicting AMSU radiances | RMS(rad(IR.ret)-radobs()) for AMSU channels | colr [2] is the rejection threshold.,Predicting Amsu Radiances | Rms(Rad(Ir.Ret)-Radobs()) For Amsu Channels | Colr [2] Is The Rejection Threshold.
8,dT,DT,Bad temperature profiles | RMS(T(p) f/IR ret - T(p) f/ AMSU.ret) | etarej_end[3] is the rejection threshold.,Bad Temperature Profiles | Rms(T(P) F/Ir Ret - T(P) F/ Amsu.Ret) | Etarej_End[3] Is The Rejection Threshold.
9,qualsurf,QUALSURF,quality indicator for surface,Quality Indicator For Surface
10,qualtemp,QUALTEMP,quality indicator for temp,Quality Indicator For Temp
11,qualwatr,QUALWATR,quality indicator for water,Quality Indicator For Water
12,softcode,SOFTCODE,software code rejection,Software Code Rejection
13,noaamit,NOAAMIT,NOAA-MIT rejection test,Noaa-Mit Rejection Test
14,Aeff_first,AEFF FIRST,Effective CC amplification factor (first CC step) | etarej_first [24] is the rejection threshold.,Effective Cc Amplification Factor (First Cc Step) | Etarej_First [24] Is The Rejection Threshold.
15,Aeff_final,AEFF FINAL,Effective CC amplification factor (final CC step) | chi2_cloud [17] is the rejection threshold.,Effective Cc Amplification Factor (Final Cc Step) | Chi2_Cloud [17] Is The Rejection Threshold.
16,A0_cloud,A0 CLOUD,intercept of alpha(1)=f(alpha(2)) fitting,Intercept Of Alpha(1)=F(Alpha(2)) Fitting
17,chi2_cloud,CHI2 CLOUD,chi^2 of alpha(1)=f(alpha(2)) fitting,Chi^2 Of Alpha(1)=F(Alpha(2)) Fitting
18,fzeta,FZETA,Estimate of the amount of cloud clearing | rzeta [19] is the rejection threshold. ,Estimate Of The Amount Of Cloud Clearing | Rzeta [19] Is The Rejection Threshold. 
19,rzeta,RZETA,Estimate of the amount of cloud clearing due to multiple cloud formations | bias_ccdiff [20] is the rejection threshold.,Estimate Of The Amount Of Cloud Clearing Due To Multiple Cloud Formations | Bias_Ccdiff [20] Is The Rejection Threshold.
20,bias_ccdiff,BIAS CCDIFF,BIAS(<R>-Rccr) in 800-900 cm-1 region,Bias(<R>-Rccr) In 800-900 Cm-1 Region
21,lambda_max,LAMBDA MAX,lambda(2 iter_eta) = U^TS^TN^{-1}SU,Lambda(2 Iter_Eta) = U^Ts^Tn^{-1}Su
22,totliqwat,TOTLIQWAT,TOTAL LIQ water (MIT),Total Liq Water (Mit)
23,noaa_score,NOAA SCORE,principal component radiance reconstruction score,Principal Component Radiance Reconstruction Score
24,etarej_first,ETAREJ FIRST,CC residual from first CC step. Used as rejection criteria for Aeff_first [24].,Cc Residual From First Cc Step. Used As Rejection Criteria For Aeff_First [24].
25,ampl_first,AMPL FIRST,Noise amplification factor | Initial CC score.,Noise Amplification Factor | Initial Cc Score.
26,cldfrc_1,CLDFRC 1,cloud fraction  eta step=1,Cloud Fraction  Eta Step=1
27,cldfr5_1,CLDFR5 1,cloud fraction P>500  eta step=1,Cloud Fraction P>500  Eta Step=1
28,num_zeta_eta1,NUM ZETA ETA1,float(sve_etatype(1))  number of zetas solved  eta step=1,Float(Sve_Etatype(1))  Number Of Zetas Solved  Eta Step=1
29,cc_reid,CC REID,sve_erej(iter_eta) cloud clearing residual  last step,Sve_Erej(Iter_Eta) Cloud Clearing Residual  Last Step
30,tsurf_noaa,TSURF NOAA,Tskin(NOAA) (used w/ rejthresh(30),Tskin(Noaa) (Used W/ Rejthresh(30)
31,noaadifftst,NOAADIFFTST,NOAA diff test - clear indicator,Noaa Diff Test - Clear Indicator
32,num_zeta_end,NUM ZETA END,float(sve_etatype(numETAstep))  # of zetas solved @ end,Float(Sve_Etatype(Numetastep))  # Of Zetas Solved @ End
33,qual_o3,QUAL O3,quality indicator for o3,Quality Indicator For O3
34,lammax_o3,LAMMAX O3,maximum eigenvalue for o3 retr.,Maximum Eigenvalue For O3 Retr.
35,qual_co,QUAL CO,quality indicator for co,Quality Indicator For Co
36,lammax_co,LAMMAX CO,maximum eigenvalue for co retr.,Maximum Eigenvalue For Co Retr.
37,qual_ch4,QUAL CH4,quality indicator for ch4,Quality Indicator For Ch4
38,lammax_ch4,LAMMAX CH4,maximum eigenvalue for ch4 retr.,Maximum Eigenvalue For Ch4 Retr.
39,qual_co2,QUAL CO2,quality indicator for co2,Quality Indicator For Co2
40,lammax_co2,LAMMAX CO2,maximum eigenvalue for co2 retr.,Maximum Eigenvalue For Co2 Retr.
41,u10mps,U10MPS,forecast wind u direction,Forecast Wind U Direction
42,v10mps,V10MPS,forecast wind v direction,Forecast Wind V Direction
43,lambda_max_11,LAMBDA MAX 11,lambda(1 iter_eta) = U^TS^TNEDN^{-2}SU,Lambda(1 Iter_Eta) = U^Ts^Tnedn^{-2}Su
44,fov_dbtmax,FOV DBTMAX,spectral clear indicator (not for IASI),Spectral Clear Indicator (Not For Iasi)
45,qual_hno3,QUAL HNO3,quality indicator for hno3,Quality Indicator For Hno3
46,lammax_hno3,LAMMAX HNO3,maximum eigenvalue for hno3 retr.,Maximum Eigenvalue For Hno3 Retr.
47,qual_n2o,QUAL N2O,quality indicator for n2o,Quality Indicator For N2O
48,lammax_n2o,LAMMAX N2O,maximum eigenvalue for n2o retr.,Maximum Eigenvalue For N2O Retr.
49,qual_so2,QUAL SO2,quality indicator for so2,Quality Indicator For So2
